date_osmom_run,time_osmom_run,sample_ID,rep1,rep2,rep3,Entered by,Checked by,
5/15/23,12:00,0-1,324,321,326,Nemo,Robin,
5/15/23,12:20,0-2,321,320,318,Nemo,Robin,
5/15/23,12:30,0-3,328,325,321,Nemo,Robin,
5/15/23,12:54,0-4,319,315,310,Nemo,Robin,
5/15/23,12:59,0-5,314,314,312,Nemo,Robin,
5/17/23,11:06,push-RT-1,324,325,323,Nemo,Robin,
5/17/23,11:17,push-RT-2,340,321,321,Nemo,Robin,
5/17/23,11:30,push-RT-3,320,332,362,Nemo,Robin,
5/17/23,12:30,push-RT-4,331,320,317,Nemo,Robin,
5/17/23,12:37,push-RT-5,323,317,318,Nemo,Robin,
5/17/23,12:47,screw-RT-1,345,334,323,Nemo,Robin,
5/17/23,12:58,screw-RT-2,333,332,344,Nemo,Robin,
5/17/23,13:09,screw-RT-3,337,338,330,Nemo,Robin,
5/17/23,13:17,screw-RT-4,330,324,335,Nemo,Robin,
5/17/23,13:26,screw-RT-5,329,335,333,Nemo,Robin,
5/17/23,14:35,push-FT-1,332,326,329,Nemo,Robin,
5/17/23,14:48,push-FT-2,330,323,317,Nemo,Robin,
5/17/23,14:57,push-FT-3,321,322,322,Nemo,Robin,
5/17/23,15:08,push-FT-4,321,313,316,Nemo,Robin,
5/17/23,17:08,push-FT-5,348,335,326,Nemo,Robin,
5/17/23,18:05,screw-FT-1,319,314,313,Nemo,Robin,
5/17/23,18:14,screw-FT-2,326,318,321,Nemo,Robin,
5/17/23,18:23,screw-FT-3,327,314,322,Nemo,Robin,
5/17/23,18:35,screw-FT-4,324,325,318,Nemo,Robin,
5/17/23,19:28,screw-FT-5,314,317,321,Nemo,Robin,
5/18/23,10:47,push-RV-1,326,319,312,Nemo,Robin,
5/18/23,11:05,push-RV-2,327,328,316,Nemo,Robin,
5/18/23,11:50,push-RV-3,335,329,325,Nemo,Robin,
5/18/23,12:46,push-RV-4,327,335,323,Nemo,Robin,
5/18/23,13:06,push-RV-5,321,315,320,Nemo,Robin,
5/18/23,13:35,screw-RV-1,327,343,325,Nemo,Robin,
5/18/23,16:34,screw-RV-2,372,360,371,Nemo,Robin,
5/18/23,16:46,screw-RV-3,349,337,325,Nemo,Robin,
5/18/23,18:56,screw-RV-4,346,375,354,Nemo,Robin,
5/18/23,20:00,screw-RV-5,365,347,357,Nemo,Robin,
5/18/23,22:30,push-FV-1,319,317,334,Nemo,Robin,
5/19/23,8:52,push-FV-2,331,323,321,Nemo,Robin,
5/19/23,9:05,push-FV-3,334,317,318,Nemo,Robin,
5/19/23,9:16,push-FV-4,322,322,321,Nemo,Robin,
5/19/23,9:28,push-FV-5,337,327,338,Nemo,Robin,
5/19/23,9:47,screw-FV-1,329,321,331,Nemo,Robin,
5/19/23,10:01,screw-FV-2,328,326,324,Nemo,Robin,
5/19/23,10:17,screw-FV-3,317,318,322,Nemo,Robin,
5/19/23,10:30,screw-FV-4,322,322,320,Nemo,Robin,
5/19/23,11:37,screw-FV-5,339,338,320,Nemo,Robin,
5/22/23,12:08,push-RW-1,335,325,331,Nemo,Robin,
5/22/23,12:18,push-RW-2,328,330,331,Nemo,Robin,
5/22/23,12:25,push-RW-3,333,319,319,Nemo,Robin,
5/22/23,12:36,push-RW-4,336,332,328,Nemo,Robin,
5/22/23,12:48,push-RW-5,325,339,331,Nemo,Robin,
5/22/23,12:58,screw-RW-1,358,350,354,Nemo,Robin,
5/22/23,13:10,screw-RW-2,333,338,337,Nemo,Robin,
5/22/23,13:47,screw-RW-3,370,370,371,Nemo,Robin,
5/22/23,13:58,screw-RW-4,351,348,344,Nemo,Robin,
5/22/23,14:09,screw-RW-5,357,343,361,Nemo,Robin,
5/22/23,14:16,push-FW-1,328,336,313,Nemo,Robin,
5/22/23,14:27,push-FW-2,336,335,337,Nemo,Robin,
5/22/23,14:37,push-FW-3,341,336,338,Nemo,Robin,
5/22/23,14:48,push-FW-4,330,333,340,Nemo,Robin,
5/22/23,15:10,push-FW-5,342,345,364,Nemo,Robin,
5/22/23,15:56,screw-FW-1,331,328,326,Nemo,Robin,forgot to vortex
5/22/23,16:06,screw-FW-2,338,330,334,Nemo,Robin,forgot to vortex
5/22/23,16:18,screw-FW-3,332,336,328,Nemo,Robin,forgot to vortex
5/22/23,16:28,screw-FW-4,346,333,322,Nemo,Robin,forgot to vortex
5/22/23,16:56,screw-FW-5,327,334,334,Nemo,Robin,forgot to vortex
6/12/23,14:33,push-RM-1,408,333,343,Nemo,,
6/12/23,15:50,push-RM-2,330,333,,Nemo,,
6/12/23,16:00,push-RM-3,334,335,331,Nemo,,
6/12/23,16:10,push-RM-4,331,332,332,Nemo,,
6/12/23,16:25,push-RM-5,341,340,332,Nemo,,
6/12/23,16:40,screw-RM-1,426,426,435,Nemo,,
6/12/23,19:16,screw-RM-2,376,367,370,Nemo,,
6/12/23,19:26,screw-RM-3,383,390,387,Nemo,,
6/12/23,19:44,screw-RM-4,381,399,380,Nemo,,
6/12/23,19:54,screw-RM-5,383,378,387,Nemo,,
6/12/23,20:15,push-FM-1,356,356,352,Nemo,,
6/12/23,20:37,push-FM-2,350,340,344,Nemo,,
6/13/23,12:53,push-FM-3,357,343,353,Nemo,,
6/13/23,13:04,push-FM-4,344,345,340,Nemo,,
6/13/23,13:43,push-FM-5,336,333,346,Nemo,,
6/13/23,13:57,screw-FM-1,371,368,369,Nemo,,
6/13/23,15:19,screw-FM-2,358,344,344,Nemo,,
6/13/23,15:35,screw-FM-3,346,341,358,Nemo,,
6/13/23,15:48,screw-FM-4,340,338,343,Nemo,,
6/13/23,17:52,screw-FM-5,324,324,327,Nemo,,